#Lambda (nm)	spectre source non normalise
576	0.005425064
576.5	0.00589884
577	0.005881395
577.5	0.005844724
578	0.005790306
578.5	0.005733485
579	0.005535845
579.5	0.00514381
580	0.004318374
580.5	0.003447808
581	0.002631267
581.5	0.00211104
582	0.001761145
582.5	0.001683397
583	0.001717837
583.5	0.001807203
584	0.001875533
584.5	0.001958184
585	0.00205961
585.5	0.002529557
586	0.003205927
586.5	0.00412462
587	0.004860268
587.5	0.005323104
588	0.00532924
588.5	0.005139623
589	0.005021814
589.5	0.00523068
590	0.006060079
590.5	0.007222102
591	0.00886348
591.5	0.010118457
592	0.01107691
592.5	0.011100107
593	0.011126086
593.5	0.011154634
594	0.011550855
594.5	0.011913477
595	0.012208544
595.5	0.012383548
596	0.012492614
596.5	0.012503095
597	0.012273714
597.5	0.01187286
598	0.011103916
598.5	0.010298813
599	0.009509467
599.5	0.008960453
600	0.008600211
600.5	0.008384664
601	0.008361094
601.5	0.008292298
602	0.008174507
602.5	0.007914811
603	0.007633843
603.5	0.007332948
604	0.00720221
604.5	0.007058486
605	0.006808837
605.5	0.006522836
606	0.006237484
606.5	0.006005819
607	0.005875182
607.5	0.005804329
608	0.005803125
608.5	0.005772465
609	0.005717588
609.5	0.005610233
610	0.005492729
610.5	0.005364231
611	0.005293192
611.5	0.005238835
612	0.005203543
612.5	0.005149658
613	0.00509471
613.5	0.005046139
614	0.005065059
614.5	0.005103178
615	0.005123239
615.5	0.005128765
616	0.005116817
616.5	0.005014994
617	0.004871847
617.5	0.004699378
618	0.004681157
618.5	0.004806864
619	0.005088494
619.5	0.005683259
620	0.006236048
620.5	0.006687736
621	0.006619167
621.5	0.006396979
622	0.006047569
622.5	0.006025874
623	0.006133907
623.5	0.006334967
624	0.006529298
624.5	0.006709213
625	0.006806641
625.5	0.006697118
626	0.006431261
626.5	0.00601005
627	0.005641109
627.5	0.00532444
628	0.005201845
628.5	0.005361037
629	0.005898199
629.5	0.00666457
630	0.007209005
630.5	0.007261951
631	0.006678078
631.5	0.005924184
632	0.005136036
632.5	0.004496797
633	0.00397507
633.5	0.003735234
634	0.003575075
634.5	0.003462951
635	0.003341657
635.5	0.003267826
636	0.003234427
636.5	0.003361718
637	0.003464059
637.5	0.00353711
638	0.00342095
638.5	0.003280912
639	0.003128761
639.5	0.003102362
640	0.003129495
640.5	0.003225646
641	0.003232585
641.5	0.003172485
642	0.002974584
642.5	0.002766591
643	0.002563332
643.5	0.002418319
644	0.002332696
644.5	0.002286715
645	0.002241529
645.5	0.002181154
646	0.002106758
646.5	0.002048575
647	0.001979316
647.5	0.00189554
648	0.001816123
648.5	0.001735306
649	0.001651416
649.5	0.001599733
650	0.001561062
650.5	0.001538436
651	0.001494274
651.5	0.001448358
652	0.001420343
652.5	0.001390318
653	0.001356011
653.5	0.001301211
654	0.001113252
654.5	0.000830416
655	0.000451916
655.5	0.000230215
656	0.000142082
656.5	0.000142856
657	0.000185339
657.5	0.000276785
658	0.000515058
658.5	0.000724173
659	0.000864885
659.5	0.00087917
660	0.000864364
660.5	0.000838911
661	0.000807461
661.5	0.000771938
662	0.000728868
662.5	0.000704256
663	0.000689747
663.5	0.000685232
664	0.000674868
664.5	0.000661214
665	0.000647566
665.5	0.000637975
666	0.000631435
666.5	0.00062159
667	0.000614989
667.5	0.000611633
668	0.000641908
668.5	0.00070831
669	0.000822664
669.5	0.001104451
670	0.001353286
670.5	0.001510468
671	0.001393453
671.5	0.001197478
672	0.000957702
672.5	0.000789262
673	0.000662332
673.5	0.000602703
674	0.000554548
674.5	0.000514982
675	0.000492159
675.5	0.000461995
676	0.000428357
676.5	0.000403943
677	0.000380331
677.5	0.000357486
678	0.000341278
678.5	0.000321094
679	0.000296934
679.5	0.000291798
680	0.000289423
680.5	0.000289766
681	0.000292175
681.5	0.000292747
682	0.000289642
682.5	0.000291918
683	0.00028672
683.5	0.000261693
684	0.000238657
684.5	0.00021824
685	0.000204121
685.5	0.000195161
686	0.000187269
686.5	0.000174161
687	0.000170338
687.5	0.000171325
688	0.000169297
688.5	0.000167444
689	0.000165698
689.5	0.000163634
690	0.000158816
690.5	0.000151456
691	0.000155756
691.5	0.000157362
692	0.000155804
692.5	0.000145552
693	0.000138931
693.5	0.000138587
694	0.000135075
694.5	0.000127875
695	0.000114354
695.5	0.000115435
696	0.000118175
696.5	0.000116936
697	0.000115829
697.5	0.000117076
698	0.000125649
698.5	0.000118143
699	0.000105755
699.5	0.000102519
700	9.82939E-05
700.5	9.38997E-05
701	9.23441E-05
701.5	9.79362E-05
702	0.00010785
702.5	0.000104386
703	9.9411E-05
703.5	9.31501E-05
704	9.29892E-05
704.5	9.30568E-05
705	9.33721E-05
705.5	9.60901E-05
706	8.97805E-05
706.5	7.0866E-05
707	7.2478E-05
707.5	7.84831E-05
708	8.79346E-05
708.5	8.60403E-05
709	8.35953E-05
709.5	8.45725E-05
710	8.5404E-05
710.5	8.49856E-05
711	8.11133E-05
711.5	7.57741E-05
712	7.30153E-05
712.5	8.1233E-05
713	8.11669E-05
713.5	7.82427E-05
714	8.07787E-05
714.5	7.75271E-05
715	7.19763E-05
715.5	7.34394E-05
716	7.60429E-05
716.5	7.9033E-05
717	7.51435E-05
717.5	7.66222E-05
718	8.22373E-05
718.5	6.64633E-05
719	6.0607E-05
719.5	6.46683E-05
720	7.5634E-05
720.5	7.63911E-05
721	6.37892E-05
721.5	5.91666E-05
722	5.86464E-05
722.5	6.3239E-05
723	6.86089E-05
723.5	7.30067E-05
724	7.53117E-05
724.5	6.24911E-05
725	5.37648E-05
725.5	6.23391E-05
726	6.59517E-05
726.5	6.68966E-05
727	6.42321E-05
727.5	6.35712E-05
728	6.2846E-05
728.5	5.93969E-05
729	5.84597E-05
729.5	5.75539E-05
730	5.06076E-05
730.5	5.16611E-05
731	5.61456E-05
731.5	5.27913E-05
732	5.34564E-05
732.5	5.65123E-05
733	5.62472E-05
733.5	5.72638E-05
734	5.91739E-05
734.5	5.83582E-05
735	5.45702E-05
735.5	4.80383E-05
736	5.07051E-05
736.5	5.28433E-05
737	5.44089E-05
737.5	6.21646E-05
738	6.15801E-05
738.5	5.00524E-05
739	4.93228E-05
739.5	5.00932E-05
740	5.17049E-05
740.5	6.03338E-05
741	6.40481E-05
741.5	5.7324E-05
742	6.35145E-05
742.5	6.80681E-05
743	6.39158E-05
743.5	6.66427E-05
744	6.86273E-05
744.5	6.42807E-05
745	6.6937E-05
745.5	6.94264E-05
746	6.43846E-05
746.5	6.53852E-05
747	6.84589E-05
747.5	7.04259E-05
748	7.33392E-05
748.5	7.46333E-05
749	6.50876E-05
749.5	6.32964E-05
750	6.51648E-05
