#lambda (nm)	Ea (m2/mol)
713	0.7878371649
714	0.7623398726
715	0.7351386674
716	0.7111457307
717	0.6996328052
718	0.6817800955
719	0.656574464
720	0.6349608652
721	0.62155982
722	0.6092026133
723	0.6001611292
724	0.5979659981
725	0.5962927862
726	0.5874355089
727	0.5718853843
728	0.5684468572
729	0.5665587374
730	0.564517112
731	0.5764445027
732	0.5877425203
733	0.5768436175
734	0.5783479731
735	0.5775497436
736	0.5636574802
737	0.5645785142
738	0.5926547018
739	0.6012970712
740	0.6159415124
741	0.6392590241
742	0.6402875121
743	0.6143604039
744	0.592363041
745	0.5675565243
746	0.5229170746
747	0.4887620624
748	0.4641090513
749	0.514781274
750	0.3426093113
